"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Chromista","Myzozoa","Conoidasida","Eugregarinorida","Lecudinidae","Lecudina","Lecudina pellucida","Lecudina pellucida",NA,NA,NA," 563667","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Lepidodinium","Lepidodinium","Lepidodinium","phytoplankton","Other","Plankton"," 231790","Genus"
"Chromista","Cryptophyta","Cryptophyta incertae sedis",NA,"Katablepharidaceae","Leucocryptos","Leucocryptos","Leucocryptos","phytoplankton","Other","Plankton","  17651","Genus"
"Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Lingulodiniaceae","Lingulodinium","Lingulodinium","Lingulodinium","phytoplankton","Other","Plankton"," 231799","Genus"
"Chromista","Ciliophora","Litostomatea","Pleurostomatida","Litonotidae","Litonotus","Litonotus","Litonotus","benthos","Macrobenthos","Macrobenthos"," 178762","Genus"
"Chromista","Ciliophora","Litostomatea","Pleurostomatida","Litonotidae","Loxophyllum","Loxophyllum","Loxophyllum","benthos","Macrobenthos","Macrobenthos"," 179322","Genus"
"Chromista","Ciliophora","Litostomatea","Pleurostomatida","Litonotidae","Loxophyllum","Loxophyllum perihoplophorum","Loxophyllum perihoplophorum","benthos","Macrobenthos","Macrobenthos"," 417364","Species"
"Fungi","Ascomycota","Sordariomycetes","Lulworthiales","Lulworthiaceae","Lulwoana","Lulwoana uniseptata","Lulwoana uniseptata",NA,NA,NA," 437724","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Lyrellales","Lyrellaceae","Lyrella","Lyrella","Lyrella","phytoplankton","Other","Plankton"," 180390","Genus"
"Protozoa","Sulcozoa","Glissodiscea","Mantamonadida","Mantamonadidae","Mantamonas","Mantamonas plastica","Mantamonas plastica",NA,NA,NA,"1737642","Species"
"Plantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Mantoniella","Mantoniella squamata","Mantoniella squamata","mixoplankton","Other","Plankton"," 134563","Species"
"Chromista","Myzozoa","Conoidasida","Eucoccidiorida","Eimeriidae","Margolisiella","Margolisiella","Margolisiella",NA,NA,NA,"1770284","Genus"
"Chromista","Cercozoa","Granofilosea","Leucodictyida","Massisteriidae","Massisteria","Massisteria","Massisteria","zooplankton","Other","Plankton"," 428550","Genus"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Orchitophryidae","Mesanophrys","Mesanophrys carcini","Mesanophrys carcini","benthos","Macrobenthos","Macrobenthos"," 427050","Species"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Orchitophryidae","Metanophrys","Metanophrys similis","Metanophrys similis","benthos","Macrobenthos","Macrobenthos"," 387943","Species"
"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia","Metschnikowia",NA,NA,NA," 100182","Genus"
"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia bicuspidata","Metschnikowia bicuspidata",NA,NA,NA," 100447","Species"
"Chromista","Ciliophora","Oligohymenophorea","Philasterida","Parauronematidae","Miamiensis","Miamiensis avidus","Miamiensis avidus","benthos","Macrobenthos","Macrobenthos"," 427063","Species"
