ASV_2354	"Nereis falsa"
ASV_1585	"Platynereis"
ASV_12322	"Platynereis"
ASV_8891	"Platynereis dumerilii"
ASV_11688	"Eulalia <segmented worms>"
ASV_8922	"Eumida maia"
ASV_3976	"Phyllodoce mucosa"
ASV_1800	"Polynoe scolopendrina"
ASV_3619	"Polynoidae sp. BOLD:AAY5847"
ASV_4218	"Polynoidae sp. BOLD:AAY5847"
ASV_2341	"Sthenelais boa"
ASV_3441	"Sthenelais boa"
ASV_5242	"Sthenelais boa"
ASV_10634	"Sthenelais boa"
ASV_17244	"Sthenelais boa"
ASV_1561	"Amblyosyllis spectabilis"
ASV_11069	"Amblyosyllis spectabilis"
ASV_19097	"Amblyosyllis spectabilis"
ASV_17328	"Amblyosyllis spectabilis"
ASV_4300	"Eusyllis blomstrandi"
ASV_17925	"Proceraea"
ASV_8274	"Proceraea"
ASV_5422	"Syllis gracilis"
ASV_14361	"unclassified Syllis"
ASV_15802	"unclassified Syllis"
ASV_19144	"Trypanosyllis zebra"
ASV_15537	"Dinophilus taeniatus"
ASV_6969	"Nerilla antennata"
ASV_4764	"Nerilla antennata"
ASV_4109	"Protodrilus adhaerens"
ASV_5791	"Protodrilus adhaerens"
ASV_7247	"Protodrilus adhaerens"
ASV_9475	"Protodrilus adhaerens"
ASV_15931	"Protodrilus adhaerens"
ASV_346	"Protodrilus ciliatus"
ASV_16889	"Rubifabriciola tonerella"
ASV_1202	"Rubifabriciola tonerella"
ASV_14404	"Rubifabriciola tonerella"
ASV_1041	"Sabellaria alveolata"
ASV_2983	"Sabellaria alveolata"
ASV_6439	"Sabellaria alveolata"
ASV_7589	"Sabellaria alveolata"
ASV_2156	"Sabellaria alveolata"
ASV_3818	"Sabellaria alveolata"
ASV_7888	"Sabellaria alveolata"
ASV_8596	"Sabellaria alveolata"
ASV_10800	"Sabellaria alveolata"
ASV_379	"Sabellaria spinulosa"
ASV_737	"Sabellaria spinulosa"
ASV_985	"Sabellaria spinulosa"
ASV_1095	"Sabellaria spinulosa"
ASV_2573	"Sabellaria spinulosa"
ASV_2819	"Sabellaria spinulosa"
ASV_3917	"Sabellaria spinulosa"
ASV_4551	"Sabellaria spinulosa"
ASV_6537	"Sabellaria spinulosa"
ASV_9909	"Sabellaria spinulosa"
ASV_14231	"Sabellaria spinulosa"
ASV_15039	"Sabellaria spinulosa"
ASV_1110	"Sabellaria spinulosa"
ASV_1260	"Sabellaria spinulosa"
ASV_2330	"Sabellaria spinulosa"
ASV_2424	"Sabellaria spinulosa"
ASV_2802	"Sabellaria spinulosa"
